Name,Total Occurrences,Books Found In
Damaris,1,"acts"
Damascus Eliezer,1,"genesis"
Damna,1,"josue"
Dan,40,"1_kings;2_kings;3_kings;4_kings;deuteronomy;exodus;ezechiel;genesis;jeremias;josue;judges;leviticus;numbers"
Daniel,17,"daniel;ezechiel;matthew"
Daniel be,1,"daniel"
Daniel Behold,1,"daniel"
Daniel grace,1,"daniel"
Danna,1,"josue"
Daphca,1,"numbers"
Darius,4,"daniel"
Dathan,4,"deuteronomy;ecclesiasticus;numbers"
Daughter,3,"4_kings;luke;mark"
David,219,"1_kings;2_kings;2_timothy;3_kings;4_kings;acts;apocalypse;canticle_of_canticles;ecclesiastes;ecclesiasticus;ezechiel;hebrews;isaias;jeremias;john;judges;luke;mark;matthew;proverbs;psalms;romans;ruth"
David lie hid,1,"1_kings"
David relieveth Ceila,1,"1_kings"
Debbora,2,"judges"
Debora,1,"genesis"
Decapolis,1,"mark"
Deceit,1,"proverbs"
Decla,1,"genesis"
Dedan,1,"jeremias"
Defraud,1,"ecclesiasticus"
degrees louder,1,"exodus"
Dei,1,"matthew"
Delay,1,"numbers"
delivereth Jabes,1,"1_kings"
Demas,1,"philemon"
Demetrius,1,"acts"
depart,1,"deuteronomy"
Depart,15,"ecclesiasticus;exodus;genesis;isaias;lamentations;luke;matthew;numbers;psalms"
Derbe,2,"acts"
desireth evil,1,"proverbs"
desireth favour,1,"ecclesiasticus"
Desolate,1,"isaias"
Destroy,2,"daniel;psalms"
Deus,20,"psalms"
Deus Deus,2,"psalms"
Deut,3,"genesis;judges;numbers"
Deuteronomy,1,"4_kings"
Diana,2,"acts;galatians"
Dibre Haijamim,1,"4_kings"
Didymus,2,"john"
diggeth evil,1,"proverbs"
Dilexi,1,"psalms"
Dina,1,"genesis"
Diotrephes,1,"3_john"
Disan,1,"genesis"
Dison,1,"genesis"
Dispersed,1,"psalms"
dissolveth Jesus,1,"1_john"
Divided,1,"judges"
Dixit Dominus,1,"psalms"
Doeg,1,"1_kings"
doeth judgment,1,"ezechiel"
Domine,30,"psalms"
Domini,1,"psalms"
Domino,1,"psalms"
Dorda,1,"3_kings"
Dragon,6,"revelation"
