Name,Occurrences
Abraham,2
Antioch,1
Barnabas,1
Brethren,1
Cephas,1
Cilicia,1
Cursed,1
Diana,1
Ephesus,1
Father,2
Gentiles,3
God,6
Gospel,1
Grace,1
Isaac,1
James,2
Jesus,6
Jesus Christ,4
Jew,2
John,1
Lord,4
Paul,2
Peter,2
St Paul,1
worketh miracles,1
