Name,Occurrences
828,1
Abel Domum Maacha,1
Abi,1
Abraham,1
Accaron,1
Achab,6
Achaz,2
Adramelech,1
Ahicam,1
Aila,1
Aion,1
Ammon,2
Amon,1
Amon succeedeth him,1
Amos,2
Amri,1
Arnon,1
Arphad,2
Asor,1
Athalia,1
Avah,1
Azarias,2
Baal,4
Baalsalisa,1
Babylon,2
Baladan,1
bald head,1
Benadad,3
Berodach Baladan,1
Bethel,2
Blindness,1
Cedron,1
Colocynthidas,1
commandeth Eliseus,1
Cyrene,1
Dan,1
Daughter,1
David,12
Deuteronomy,1
Dibre Haijamim,1
Edom,2
Ela,3
Elath,1
Eliacim,2
Elias,5
Eliseus,9
Emath,3
Ennom,1
Ephraim,1
Esdras,1
Ezechias,4
Father,1
fig,1
Gabaa,1
Gadi,1
Galaad,4
Galilee,1
Giezi,3
God,22
Godolias,1
Haphsiba,1
Hazael,4
Hearken,1
Helcias,3
Isaac,1
Jabes,1
Jacob,1
Janoe,1
Jeblaam,1
Jechelia,1
Jectehel,1
Jehu,4
Jereboam,1
Jeremias,2
Jeroboam,5
Jerusa,1
Jezabel,1
Jezebel,1
Jezonias,1
Jezrahel,3
Jezrahelite,1
Joachin,2
Joadan,1
Joakim,2
Joas,1
Joatham,1
Joiada,1
Jonadab,1
Jonas,1
Joram,4
Joram king,1
Josaphat,5
Josias,3
Juda,19
Latrunculos,1
Libanus,2
Lord,25
Manasses,5
Maspha,1
Massem,1
Matthanias,1
Moab,5
Naaman,1
Nabat,1
Nabuchodonosor,2
Nabuzardan,1
Namsi,1
Nathanias,1
Nergel,1
Nineve,1
Ochozias,8
Opher,1
Osee,2
Oza,1
Ozias,1
Paralipomenon,1
Phacee,1
Pharao,1
Pharao Nechao,1
prophesieth
victory,1
prophet Eliseus,1
Rabsaris,1
Ramoth,1
Ramoth Galaad,1
Rasin,2
Reblatha,1
Rechab,1
Remmon,1
Reseph,1
Salmanasar,1
Samaria,1
Saphan,1
Sarasar,1
Sedecias,2
Semaath,1
sepulchre,1
Seraias,1
Sion,1
Solomon,5
Somer,1
Sopher,1
Sua,1
Sunam,1
Sunamitess,2
telleth the king,1
Wash,1
Zacharias,3
Zambri,1
Zebida,1
