Name,Occurrences
Aaron,2
Abiathar,4
Abiel,2
Abigail,3
Abinadab,2
Abisai,1
Accaron,3
Achias,1
Achinoam,4
Aialon,1
Amalecites,2
Ammon,2
Anna,2
Arama,1
Asan,1
Ascalon,1
Baalim,2
Bechorath,1
Bedan,1
Behold David,2
Benjamin,6
Bersabee,1
Bethel,2
Bethlehem Juda,1
Bethsamites,1
Cast,1
Ceila,1
Cis,3
Dagon,1
Dan,2
David,16
David lie hid,1
David relieveth Ceila,1
delivereth Jabes,1
Doeg,1
Eliab,1
Engaddi,1
Ephra,1
Ephrathite,1
Ezel,1
Gabaa,7
Gabaa Hachila,1
Gabaa of Benjamin,1
Galaad,3
Galgal,2
Geennom,1
Gelboe,2
God,29
Goliath,3
Hadriel,1
Hebrews,4
Heli,2
I

317,1
I

35,1
i e,1
Jabes,1
Jephte,1
Jer,1
Jerobaal,1
Jeroham,1
Jesimon,1
Jether,1
Jezrahel,2
Joab,1
Jonathan,7
Juda,8
Levi,1
Lord,29
Machmas,2
Maon,2
Maspha,1
Michol,3
Moab,3
Naas,2
Nabal,1
Najoth,1
Nay,2
Ner,2
Nobe,2
Ophni,2
Phenenna,1
Philistine,1
Ramath,1
Ramoth,1
Require,1
Sadoc,1
Salim,1
Salisa,1
Samma,1
Samuel,16
Saraim,1
Sarvia,1
Saul,21
Saul king,1
Saul seeketh David,1
Saw Saul,1
Seer,1
Sene,1
Shall Saul,1
Siceleg,1
Silo,1
Sisara,1
Soba,1
Suph,1
sword,2
Therefore David,1
Therefore Saul,1
Ziph,2
